region,suc,discipline,passers_2010,passers_2011,passers_2012,passers_total,takers_2010,takers_2011,takers_2012,takers_total
Ilocos,Don Mariano Marcos Memorial State University,Agricultural Engineering,1,4,4,9,14,17,10,41
Ilocos,Don Mariano Marcos Memorial State University,Agriculture,6,10,20,36,24,32,43,99
Ilocos,Don Mariano Marcos Memorial State University,Civil Engineering,-,0,0,0,-,1,1,2
Ilocos,Don Mariano Marcos Memorial State University,Criminology,-,-,0,0,-,-,1,1
Ilocos,Don Mariano Marcos Memorial State University,Electrical Engineering,22,43,42,107,92,87,104,283
Ilocos,Don Mariano Marcos Memorial State University,Forestry,0,0,2,2,1,4,2,7
Ilocos,Don Mariano Marcos Memorial State University,Guidance Counseling,0,4,3,7,1,5,5,11
Ilocos,Don Mariano Marcos Memorial State University,LET-Elementary,119,163,331,613,515,551,537,1603
Ilocos,Don Mariano Marcos Memorial State University,LET-Secondary,109,122,206,437,399,427,456,1282
Ilocos,Don Mariano Marcos Memorial State University,Mechanical Engineering,23,32,39,94,64,82,76,222
Ilocos,Don Mariano Marcos Memorial State University,Midwifery,30,33,29,92,92,58,51,201
Ilocos,Don Mariano Marcos Memorial State University,Nursing,70,65,57,192,124,105,116,345
Ilocos,Don Mariano Marcos Memorial State University,Veterinary Medicine,1,1,3,5,11,11,9,31
Ilocos,Don Mariano Marcos Memorial State University,Total,381,477,736,1594,1337,1380,1411,4128
Ilocos,Ilocos Sur Polytechnic State College,Agricultural Engineering,0,0,-,0,1,2,-,3
Ilocos,Ilocos Sur Polytechnic State College,Agriculture,1,6,3,10,15,21,12,48
Ilocos,Ilocos Sur Polytechnic State College,Fisheries Technology,0,0,-,0,4,2,-,6
Ilocos,Ilocos Sur Polytechnic State College,LET-Elementary,34,37,106,177,117,124,156,397
Ilocos,Ilocos Sur Polytechnic State College,LET-Secondary,17,20,38,75,115,120,129,364
Ilocos,Ilocos Sur Polytechnic State College,Total,52,63,147,262,252,269,297,818
Ilocos,Mariano Marcos State University,Accountancy,45,36,33,114,74,55,53,182
Ilocos,Mariano Marcos State University,Agricultural Engineering,5,2,0,7,8,16,12,36
Ilocos,Mariano Marcos State University,Agriculture,15,17,30,62,27,37,61,125
Ilocos,Mariano Marcos State University,Chemical Engineering,1,1,3,5,7,6,8,21
Ilocos,Mariano Marcos State University,Civil Engineering,27,34,44,105,43,44,65,152
Ilocos,Mariano Marcos State University,Electrical Engineering,22,19,25,66,53,30,53,136
Ilocos,Mariano Marcos State University,Electronics Engineering,15,26,22,63,39,39,37,115
Ilocos,Mariano Marcos State University,Fisheries Technology,0,4,0,4,6,11,4,21
Ilocos,Mariano Marcos State University,Forestry,1,2,-,3,2,5,-,7
Ilocos,Mariano Marcos State University,Guidance Counseling,1,1,1,3,2,1,1,4
Ilocos,Mariano Marcos State University,LET-Elementary,123,116,203,442,198,211,229,638
Ilocos,Mariano Marcos State University,LET-Secondary,94,131,186,411,294,346,371,1011
Ilocos,Mariano Marcos State University,Library Science,0,0,0,0,1,1,1,3
Ilocos,Mariano Marcos State University,Mechanical Engineering,18,15,15,48,21,19,20,60
Ilocos,Mariano Marcos State University,Nursing,255,261,249,765,314,299,270,883
Ilocos,Mariano Marcos State University,Pharmacy,53,60,82,195,92,91,130,313
Ilocos,Mariano Marcos State University,Physical Therapy,24,33,27,84,29,47,48,124
Ilocos,Mariano Marcos State University,Total,699,758,920,2377,1210,1258,1363,3831
Ilocos,North Luzon Philippines State College,Criminology,-,-,0,0,-,-,5,5
Ilocos,North Luzon Philippines State College,LET-Elementary,20,17,33,70,35,40,38,113
