region,suc,enrolment_2010-2011,enrolment_2011-2012,enrolment_2012-2013,graduates_2009-2010,graduates_2010-2011,graduates_2011-2012
Ilocos Region (R-I),Don Mariano Marcos Memorial State University,13184,12655,14320,1977,2126,1793
Ilocos Region (R-I),Ilocos Sur Polytechnic State College,3230,3988,4068,613,47,1551
Ilocos Region (R-I),Mariano Marcos State University,10334,11158,11706,1562,2353,2340
Ilocos Region (R-I),North Luzon Philippines State College,-,1879,2271,-,4,349
Ilocos Region (R-I),Pangasinan State University,19416,21692,22229,1736,2199,2543
Ilocos Region (R-I),University of Northern Philippines,9503,10164,9953,2479,2246,1854
Cagayan Valley (R-II),Batanes State College,379,286,316,33,80,116
Cagayan Valley (R-II),Cagayan State University,28863,31487,35478,2543,3453,3058
Cagayan Valley (R-II),Isabela State University,27423,29180,22220,4341,4537,3640
Cagayan Valley (R-II),Nueva Viscaya State University,7384,7384,7969,931,931,1071
Cagayan Valley (R-II),Qurino State College,1784,1925,1945,335,379,428
Central Luzon (R-III),Aurora State College of Technology,2762,2673,1964,319,6630,577
Central Luzon (R-III),Bataan Pen State University,13340,13731,14350,2610,2490,2365
Central Luzon (R-III),Bulacan Agric State College,2250,2560,2750,329,284,344
Central Luzon (R-III),Bulacan State University,25087,30383,35525,3754,4368,5346
Central Luzon (R-III),Central Luzon State University,7326,9652,10354,924,989,1182
Central Luzon (R-III),Don H Ventura Technological State University,9968,10932,12724,833,1053,1464
Central Luzon (R-III),Nueva Ecija University of Science and Technology,15301,15860,26834,1784,2155,2697
Central Luzon (R-III),Pampanga Agricultural College,2821,3472,4040,396,391,938
Central Luzon (R-III),Philippines Merchant Marine Academy,1103,1103,913,201,201,241
Central Luzon (R-III),Ramon Magsaysay Technological University,7243,8013,8027,1094,1430,1387
Central Luzon (R-III),Tarlac College of Agriculture,2451,2746,3125,262,326,378
Central Luzon (R-III),Tarlac State University,11679,12048,15601,1239,4772,1956
CALABARZON (R-IVA),Batangas State University,23349,24789,27920,2939,3215,4183
CALABARZON (R-IVA),Cavite State University,17553,25117,24849,2189,2643,2817
CALABARZON (R-IVA),Laguna State Polytechnic University,15766,16640,15547,3304,4032,3408
CALABARZON (R-IVA),Southern Luzon State University,13539,14205,14929,1897,2289,2636
CALABARZON (R-IVA),University of Rizal System,15255,16179,18908,2860,3018,2650
MIMAROPA (R-IVB),Marinduque State College,4585,4911,5315,659,724,924
MIMAROPA (R-IVB),Mindoro State College of Agriculture and Technology,3244,4546,4965,518,560,786
MIMAROPA (R-IVB),Occidental Mindoro National College,6744,7196,8567,862,1038,1103
MIMAROPA (R-IVB),Palawan State University,15045,14677,17019,2177,2093,2109
MIMAROPA (R-IVB),Romblon State University,4900,6017,7213,780,1028,1206
MIMAROPA (R-IVB),Western Philippines University (formerly SPCP),7359,7624,7109,781,826,946
Bicol Region (R-V),Bicol University,21048,22376,22195,4878,4999,5997
Bicol Region (R-V),Camarines Norte State College,5969,7497,7030,652,940,909
Bicol Region (R-V),Camarines Sur Polytechnic College,5797,5907,6747,1673,2376,2514
