region,suc,first_sem_2010-2011_bs_ab,first_sem_2010-2011_ms_ma,first_sem_2010-2011_phd,first_sem_2011-2012_bs_ab,first_sem_2011-2012_ms_ma,first_sem_2011-2012_phd,first_sem_2012-2013_bs_ab,first_sem_2012-2013_ms_ma,first_sem_2012_-2013_phd
Ilocos Region,Don Mariano Marcos Memorial State University,100,230,300,100,230,300,100,230,300
Ilocos Region,Ilocos Sur Polytechnic State College,50,130,-,50,130,-,100,-,-
Ilocos Region,Mariano Marcos State University,100,200,300,100,200,300,100,200,300
Ilocos Region,Pangasinan State University,100,-,-,150,-,-,-,175,-
Ilocos Region,University of Northern Philippines,100,120,180,100,120,180,100,120,180
Ilocos Region,North Luzon Philippine State College,-,-,-,100,-,-,100,-,-
Cagayan Valley,Batanes State College,75,-,-,75,-,-,75,-,-
Cagayan Valley,Cagayan State University,free tuition fee,free tuition fee,free tuition fee,free tuition fee,280,300,free tuition fee,280,300
Cagayan Valley,Isabela State University,100,300,400,100,300,400,100,300,400
Cagayan Valley,Nueva Vizcaya State University,100,150,250,nds,nds,nds,100,150,250
Cagayan Valley,Quirino State College,65,300,-,65,300,-,65,300,-
Central Luzon,Aurora State College of Technology,60,400,-,100,500,-,100,500,-
Central Luzon,Bataan Peninsula State University,200,450,700,220,500,750,240,550,800
Central Luzon,Bulacan Agricultural State College,110,330,400,nd,nd,nd,110,330,400
Central Luzon,Bulacan State University,200,250,350,200,250,350,200,250,350
Central Luzon,Central Luzon State University,110,250,300,121,250,300,133.1,250,300
Central Luzon,Don Honorio Ventura Technological State University,170,250,350,nd,nd,nd,220,350,450
Central Luzon,Nueva Ecija University of Science and Technology,140,400,500,140,400,500,180,400,400
Central Luzon,Pampanga Agricultural College,100,250,350,100,250,350,100,250,350
Central Luzon,Philippine Merchant Marine Academy,nds,nds,nds,nds,nds,nds,nds,nds,nds
Central Luzon,Ramon Magsaysay Technological University,120,300,500,120,300,500,120,300,500
Central Luzon,Tarlac College of Agriculture,150,350,450,150,350,450,150,350,450
Central Luzon,Tarlac State University,80 / 120,300,400,80 / 120,300,400,120,500,600
CALABARZON,Batangas State University,250,500, none,250,500,700,250,500,750
CALABARZON,Cavite State University,225,275,275,225,275,275,225,275,275
CALABARZON,Laguna State Polytechnic University,100,300,500,100,300,500,100,300,500
CALABARZON,Southern Luzon State University,100,500,600,100,500,600,100,500,600
CALABARZON,University of Rizal System,100,300,300,50 / 100,200,250,50 / 100,200,250
MIMAROPA,Marinduque State College,125,500,500,125.5,500,-,145.5,500,500
MIMAROPA,Mindoro State College of Agriculture and Technology,100,300,500,100,300,500,100,300,500
MIMAROPA,Occidental Mindoro State College,100,350,-,100,350,-,100,500,500
MIMAROPA,Palawan State University,200,400,800,200,400,800,200,400,800
MIMAROPA,Romblon State University,100,300,-,100,300,-,100,300,-
MIMAROPA,Western Philippine University,150,400,600,150,400,600,200,400,600
Bicol Region,Bicol University,175,400,500,175,400,500,175,400,500
Bicol Region,Camarines Norte State College,125,400,-,125,400,-,125,400,-
Bicol Region,Camarines Sur Polytechnic College,150,500,-,180,500,-,180,500,-
Bicol Region,Central Bicol State University of Agriculture,100,200,300,100,200,300,175,400,500
Bicol Region,Catanduanes State College,100,150,200,100,150,200,100,150,-
Bicol Region,Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,150,300,500,150,400,600,150,400,600
Bicol Region,Partido State University,175,500,500,175,500,500,175,400,500
Bicol Region,Sorsogon State College,150,200,-,150,200,-,150,200,-
Western Visayas,Aklan State University,120,250,300,nd,nd,nd,120,250,300
Western Visayas,Capiz State University,140,311,415,140,311,415,140,311,415
Western Visayas,Carlos C. Hilado Memorial State College,150,300,400,150,300,400,150,300,400
Western Visayas,Guimaras State College,142.5,300,400,nd,nd,nd,220,450,600
Western Visayas,Iloilo State College of Fisheries,100,300,350,100,300,350,120,300,350
Western Visayas,Negros State College of Agriculture,120,300,400,140,300,400,140,300,400
Western Visayas,Northern Iloilo Polytechnic State College,100,300,400,100,300,400,100,300,400
Western Visayas,Northern Negros State College of Science and Technology,110,400,-,110,300,400,150,400,500
Western Visayas,University of Antique,150,225,275,150,225,275,-,-,-
Western Visayas,West Visayas State University,150,437.5,500,nd,nd,nd,170,525,600
Western Visayas,Western Visayas College of Science and Technology,200,500,700,200,500,600 / 800,200,500,600 / 800
Central Visayas,Cebu Normal University,75,200,250,75,200,250,75,200,250
Central Visayas,Cebu Technological University - Main,150,300,350,150,300,350,150,300,350
Central Visayas,Bohol Island State University - Bilar,158.8,300,-,nd,nd,nd,nd,nd,nd
Central Visayas,Negros Oriental State University,nd,nd,nd,nd,nd,nd,nd,nd,nd
Central Visayas,Siquijor State College,90,90,-,90,90,-,90,90,-
Eastern Visayas,Eastern Samar State College,100,150,-,100,150,150,100,150,150
Eastern Visayas,Leyte Institute of Technology,150,200,250,150,200,250,nd,nd,nd
Eastern Visayas,Leyte Normal University,150,200,300,150,200,300,150,200,300
Eastern Visayas,Visayas State University,120,200,250,nd,nd,nd,120,250,250
Eastern Visayas,Naval Institute of Technology,120,200,250,150,200,250,150,200,250
Eastern Visayas,Palompon Institute of Technology,150,250,300,150,250,300,150,250,300
Eastern Visayas,Samar State Univ (formerly Samar State Polytechnic College),100,200,300,100,200,300,nd,nd,nd
Eastern Visayas,Southern Leyte State University,150,200,-,150,350,-,150,350,-
Eastern Visayas,Norwest Samar State University,120,125,200,nd,nd,nd,120,125,200
Eastern Visayas,University of Eastern Philippine (Laoang Campus),150,250,300,150,250,300,150,250,300
Zamboanga Peninsula,Basilan State College,100,100,530,30,100,350 / 530,30,350,350
Zamboanga Peninsula,Jose Rizal Memorial State College,2500 regardless of the number of units,200,300,nds,nds,nds,2500 regardless of the number of units,200,300
Zamboanga Peninsula,Josefina H. Cerilles State College,60,400,-,60,400,-,120,300,-
Zamboanga Peninsula,Western Mindanao State University,30,220,350,30,220,350,30,220,350
Zamboanga Peninsula,Zamboanga City State Polytechnic College,nds,nds,nds,75,250,250,75,250,250
Zamboanga Peninsula,Zamboanga State College of Marine Science and Technology,50,250,-,100,250,-,100,250,-
Northern Mindanao,Bukidnon State College,225,400,600,225,400,500,225,400,500
Northern Mindanao,Camiguin Polytechnic State College,550/sem,350,-,550/sem,350,-,550/sem,350,-
Northern Mindanao,Central Mindanao University,90,540,735,90,540,735,150,540,735
Northern Mindanao,Mindanao Polytechnic State College,nds,nds,nds,325,450,500 / 624,325,450,500
Northern Mindanao,Misamis Oriental State College of Agriculture and Technology,150,250,-,150,250,-,150,250,600
Northern Mindanao,Northwestern Mindanao State College of Science and Technology,120,-,-,150,-,-,150,-,-
Northern Mindanao,Mindanao State University - Iligan Institute of Technology,100,600,600,100,600,600,100,1500,1500
Davao Region,Davao Del Norte State College,40,200,300,40,200,300,80,200,300
Davao Region,Davao Oriental State College of Science and Technology,74,319,-,74,319,-,74,319,-
Davao Region,"Southern Philippines Agriculture, Business, Marine and Aquatic School of Technology",90,200,-,nd,nd,-,90,200,-
Davao Region,University of Southeastern Philippines,200,300,300,nds,nds,nds,250,300,300
SOCCSKSARGEN,Cotabato City State Polytechnic College,nds,nds,nds,nds,nds,nds,120,180,270
SOCCSKSARGEN,Cotabato Foundation College of Science and Technology,nds,nds,nds,nds,nds,nds,100,250,350
SOCCSKSARGEN,Sultan Kudarat Polytechnic State College,150,300,400,150,300,400,150,300,400
SOCCSKSARGEN,University of Southern Mindanao,125,300,350,125,300,350,125,500,700
National Capital Region,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",100,165,200,100,165,200,100,164,200
